Year,GMSL,SigmaError
1964.416667,-76.36816455,15.81690343
1964.5,-77.45454573,15.79718005
1964.583333,-75.46206789,15.78383078
1964.666667,-77.09778506,15.7707596
1964.75,-76.4613783,15.75800165
1964.833333,-75.49981916,15.74608448
1964.916667,-74.24453145,15.73355549
1965,-74.28493579,15.71832797
1965.083333,-73.91328605,15.70528187
1965.166667,-75.47231039,15.70685847
1965.25,-75.92526969,15.69397751
1965.333333,-74.27506293,15.67451557
1965.416667,-73.79314849,15.66052616
1965.5,-72.70153513,15.64775807
1965.583333,-72.73587628,15.6312414
1965.666667,-70.09717389,15.60958908
1965.75,-73.14502275,15.5956596
1965.833333,-68.98410468,15.56511577
1965.916667,-69.46256972,15.55154282
1966,-71.63695701,15.53260743
1966.083333,-72.88964333,15.51949662
1966.166667,-71.83085542,15.51526715
1966.25,-69.47105859,15.50249088
1966.333333,-72.54436693,15.479759
1966.416667,-73.94270459,15.4677737
1966.5,-73.6471484,15.45263878
1966.583333,-73.24753513,15.43506615
1966.666667,-74.1923465,15.41926193
1966.75,-72.8167232,15.41600138
1966.833333,-73.39931771,15.40130743
1966.916667,-73.05182383,15.38659863
1967,-74.79578644,15.36985953
1967.083333,-76.99460802,15.34839175
1967.166667,-77.11718044,15.32956588
1967.25,-76.8892876,15.31487888
1967.333333,-74.14424563,15.29943548
1967.416667,-72.61862639,15.28492419
1967.5,-72.54442033,15.27021318
1967.583333,-72.08531474,15.25587047
1967.666667,-72.56353613,15.24167603
1967.75,-75.29778875,15.22927813
1967.833333,-76.31783412,15.21609186
1967.916667,-72.94691448,15.20253887
1968,-73.0297317,15.19234198
1968.083333,-71.58317737,15.18073845
1968.166667,-75.37244326,15.16740696
1968.25,-72.5193221,15.15019951
1968.333333,-72.76703931,15.13836779
1968.416667,-74.67210213,15.12429993
1968.5,-73.10434615,15.10720632
1968.583333,-71.46590216,15.09515355
1968.666667,-69.47165548,15.08129623
1968.75,-72.38183656,15.06489477
1968.833333,-71.48716108,15.05205821
1968.916667,-72.03233807,15.04221981
1969,-68.63965237,15.02393309
